Month	#Price
2017-12-22	20
2017-12-23	20
2017-12-24	00
2017-12-25	20
2017-12-26	20
2017-12-27	20
2017-12-28	20
2017-12-29	20
2017-12-30	20
2017-12-31	00
